ods_code,care,numtreat_total,numtreat_less62days,numtreat_more62days,percenttreat_62days,wait_within31,wait_32to38,wait_39to48,wait_49to62,wait_63to76,wait_77to90,wait_91to104,wait_104plus,observed_deaths,expected_deaths,shmi_ind,patient_admissions,beds_day,beds_night,_Chemical_pathology,_Clinical_oncology,_Clinical_radiology,_General_pathology,_Haematology,_Histopathology,_Medical_oncology,hee_region_code,_admin_supp_DNM,_admin_supp_STT,_management_staff,_nursing_staff,_stt_staff,ytd_plan,ytd_actual,hospitalN,rating_Q12,rating_Q16,rating_Q17,rating_Q25,rating_Q31,rating_Q55,rating_Q56,rating_Q59,rating_Q6,planactual_diff,ytd_plan_miss,deficit,regions,nhs_trust,oncology_staff,cat_numtreat_total,cat_patient_admissions,cat_beds_day,cat_beds_night,cat__Chemical_pathology,cat__Clinical_oncology,cat__Clinical_radiology,cat__General_pathology,cat__Haematology,cat__Histopathology,cat__Medical_oncology,cat__admin_supp_DNM,cat__admin_supp_STT,cat__management_staff,cat__nursing_staff,cat__stt_staff,cat_oncology_staff
RVR,ALL CARE,162,141.5,20.5,.8734999999999999,49.5,23.5,23,45.5,8.5,5,2.5,4.5,130,133.54201,Lower than expected,7081,157.6888888888889,821.1333333333333,3.3999999,0,19.4,0,11.5,0,0,YDF27,983.93732,31.82373,28.700001,1054.7981,89.885468,-15053,-12687,5,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2366,Performed better or as expected financially,In deficit, South London,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,34.299999,Slightly lower than average,Slightly lower than average,Much higher than average,Slightly higher than average,Much higher than average,None,Slightly higher than average,None,Much higher than average,None,None,Slightly higher than average,Much lower than average,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RVV,ALL CARE,565,397,168,.7027,128,38.5,74.5,156,54.5,33.5,40.5,39.5,505,443.5253,Above expected,19303,45.27777777777778,1015,0,0,36.531998,0,0,17.5,0,YDF29,1587.4301,191.67984,19.6,1599.4121,203.12886,612,-24059,5,Performed better than expected,Performed better than expected,Performed better than expected,Performed better than expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,Performed better than expected,23447,Did not financially perform as expected,In deficit," Kent, Surrey and Sussex",EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,54.031998,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,None,None,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average
RVW,ALL CARE,190.5,167.5,23,.8793000000000001,55,27.5,40,45,13.5,4,2.5,3,213,230.10831,Lower than expected,4011,84.62222222222222,614.8,0,0,20,0,0,0,0,YDF30,822.30127,52.959999,0,846.96869,98.599998,2134,3197,2,Performed worse than expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1063,Performed better or as expected financially,Not in deficit, North East,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,20,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly higher than average,None,None,None,None,Slightly lower than average,Slightly lower than average,None,Slightly lower than average,Slightly lower than average,Much lower than average
RVY,ALL CARE,107,87,20,.8131,30.5,8.5,18,30,6,7,2,5,89,81.332901,Above expected,4375,27.73333333333333,433,-99,-99,-99,-99,-99,-99,-99,,580.63751,74.7808,0,558.46002,58.40694,-6600,-20709,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,14109,Did not financially perform as expected,In deficit,,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,,Much lower than average,Much lower than average,Much lower than average,Much lower than average,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Much lower than average,Slightly lower than average,None,Much lower than average,Much lower than average,None
RW3,ALL CARE,141,110,31,.7801,29,13,17,51,7,7,3.5,13.5,252,203.1127,Above expected,15035,125.8444444444445,1112.022222222222,0,0,40.424999,0,31.1,34.900002,0,YDF31,2320.6509,572.29272,51.466671,2255.6638,219.39839,5918,56843,8,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,50925,Performed better or as expected financially,Not in deficit, North West,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,106.425,Slightly lower than average,Much higher than average,Much higher than average,Much higher than average,None,None,Much higher than average,None,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RW6,ALL CARE,326,265.5,60.5,.8144,89.5,36.5,51.5,88,24.5,12,9,15,405,379.77081,Above expected,15689,96.08888888888889,1194.355555555556,0,0,34.887501,0,0,0,0,YDF31,1831.0232,107.12637,43.760002,1866.6123,200.81015,-15247,-1993,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,13254,Performed better or as expected financially,In deficit, North West,PENNINE ACUTE HOSPITALS NHS TRUST,34.887501,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,None,None,Slightly higher than average,None,None,None,None,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average
RWA,ALL CARE,423,318.5,104.5,.753,96,33.5,61.5,127.5,26.5,33.5,19.5,25,638,627.0838,Above expected,14697,124.7555555555556,1000.233333333333,0,18,52.48,15.3,14.9,1.8,19.950001,YDF23,1127.3588,184.09253,38.066662,1751.62,200.00905,0,2616,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,2616,Performed better or as expected financially,Not in deficit, Yorkshire and the Humber,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,122.43,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RWD,ALL CARE,410.5,294.5,116,.7173999999999999,107,37.5,63,87,41.5,27.5,21,26,463,463.1044,As expected,11434,209,1112.033333333333,0,14.6,21.975,0,7.0999999,10.7,5,YDF21,1613.5082,143.30054,6.8933301,1531.9313,182.82669,-47900,-56891,3,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,Performed better than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,8991,Did not financially perform as expected,In deficit, East Midlands,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,59.375,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,Much higher than average,Slightly higher than average
RWE,ALL CARE,579,460.5,118.5,.7953,146,70.5,109,135,51.5,31.5,16.5,19,506,579.43878,Lower than expected,16512,161.3555555555556,1544.811111111111,8.3000002,29.799999,82.800003,0,26.299999,32.950001,5.09091,YDF21,2762.1294,200.60049,24.03467,2675.4309,278.14139,-8300,-27152,7,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,18852,Did not financially perform as expected,In deficit, East Midlands,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,185.24091,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average
RWF,ALL CARE,310,217.5,92.5,.7016,45,26.5,45.5,100.5,25,19,15.5,33,317,269.3317,Above expected,9478,82.65555555555555,807.8111111111111,0,19.5,23.6,0,6.7999997,25.780001,22.200001,YDF29,823.4126,111.87741,17.73333,1082.4875,212.83998,4675,-10918,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,6243,Did not financially perform as expected,In deficit," Kent, Surrey and Sussex",MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,97.880005,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,None,Much higher than average,Slightly higher than average,None,Slightly higher than average,Much higher than average,Much higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Much higher than average,Much higher than average
RWG,ALL CARE,209,176.5,32.5,.8445,67.5,19.5,46.5,43,9,7.5,6,10,236,235.4855,As expected,8953,50.55555555555556,694.6888888888889,0,0,18.450001,0,9.5,0,0,YDF22,983.31073,84.458923,27.6,928.76294,81.389091,-22553,-29431,4,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,6878,Did not financially perform as expected,In deficit, East of England,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,27.950001,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly lower than average,None,Slightly higher than average,None,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Slightly lower than average
RWH,ALL CARE,366.5,250.5,116,.6835,97,32,48.5,73,28.5,26.5,24,37,458,469.82141,Lower than expected,9001,58.66666666666666,659.4888888888889,0,49.739552,25.9,0,0,0,.80000001,YDF22,672.99866,105.65921,0,1202.936,176.69785,-8650,-29533,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,20883,Did not financially perform as expected,In deficit, East of England,EAST AND NORTH HERTFORDSHIRE NHS TRUST,76.439552,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,Much higher than average,Slightly higher than average,None,None,None,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,Slightly higher than average,Much higher than average,Much higher than average
RWJ,ALL CARE,162,147.5,14.5,.9105,38,20.5,25.5,63.5,5.5,4,1.5,3.5,151,146.87961,Above expected,7800,41.24444444444445,706.1888888888889,0,0,15.82909,0,0,0,0,YDF31,950.82574,58.0368,24.293331,877.16663,65.479996,-6504,-2197,1,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,4307,Performed better or as expected financially,In deficit, North West,STOCKPORT NHS FOUNDATION TRUST,15.82909,Slightly lower than average,Slightly lower than average,Slightly lower than average,Slightly higher than average,None,None,Slightly lower than average,None,None,None,None,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average,Much lower than average
RWP,ALL CARE,449.5,316.5,133,.7041,137,37,48.5,94,32,37.5,25,38.5,351,318.26019,Above expected,13259,19.6,757.8555555555556,0,9.7875004,25.65682,0,0,0,0,YDF32,1186.079,136.07822,53.900009,1298.6549,175.23528,-34583,-28329,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,6254,Performed better or as expected financially,In deficit, West Midlands,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,35.444321,Much higher than average,Much higher than average,Much lower than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,None,None,None,None,Slightly higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Slightly higher than average
RWW,ALL CARE,118,90.5,27.5,.7669,21.5,12.5,22,34.5,12,6,4,5.5,106,85.581001,Above expected,7168,80.35555555555555,573.3333333333334,0,0,20.775,0,0,7.8000002,0,YDF31,819.50079,92.246948,0,694.14191,99.078674,-7917,-5026,3,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed better than expected,2891,Performed better or as expected financially,In deficit, North West,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,28.575001,Much lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,None,None,Slightly higher than average,None,None,Slightly higher than average,None,Slightly lower than average,Slightly higher than average,None,Slightly lower than average,Slightly lower than average,Slightly lower than average
RWY,ALL CARE,244.5,217.5,27,.8896,90,27.5,36,64,6,8.5,6.5,6,306,268.51639,Above expected,9508,61.8,761.8,0,0,16.415001,0,10.9,0,8,YDF23,1021.8229,89.557846,22.6,1107.816,113.1888,-16153,-14703,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,1450,Performed better or as expected financially,In deficit, Yorkshire and the Humber,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,35.315002,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly lower than average,None,Much higher than average,None,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RX1,ALL CARE,466.5,349.5,117,.7492,112,46.5,71,120,30.5,30.5,13.5,42.5,676,668.12592,Above expected,21717,186.3333333333333,1520,4.5999999,37.525002,71.574997,3.375,28.5,22.950001,9,YDF21,2658.0879,120.92747,168.90001,2902.2273,346.14426,-21987,-20108,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,1879,Performed better or as expected financially,In deficit, East Midlands,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,177.52499,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RXC,ALL CARE,357.5,268.5,89,.7509999999999999,111,35,42,80.5,17.5,19.5,14,38,327,294.3736,Above expected,5369,19.2,775.2333333333334,0,0,27.85,0,0,0,0,YDF29,1360.396,58.99094,6,1223.3782,98.490669,-31300,-43792,6,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,12492,Did not financially perform as expected,In deficit," Kent, Surrey and Sussex",EAST SUSSEX HEALTHCARE NHS TRUST,27.85,Much higher than average,Slightly lower than average,Much lower than average,Slightly higher than average,None,None,Slightly higher than average,None,None,None,None,Much higher than average,Slightly lower than average,Much lower than average,Slightly higher than average,Slightly lower than average,Slightly lower than average
RXF,ALL CARE,310.5,260.5,50,.8390000000000001,69.5,37.5,58,95.5,20.5,7,10.5,12,344,396.52359,Lower than expected,12244,255.3,1002.444444444445,0,0,26.345449,0,9.8500004,11.2,0,YDF23,1600.9403,214.47974,45.993332,1286.8097,161.01974,4200,-7873,3,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,3673,Did not financially perform as expected,In deficit, Yorkshire and the Humber,MID YORKSHIRE HOSPITALS NHS TRUST,47.395451,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,None,None,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,None,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RXH,ALL CARE,443.5,332.5,111,.7497,140,42,54,96.5,30,33.5,18.5,29,232,235.93089,Lower than expected,11352,59,815,0,26.150002,42.659729,0,0,16.700001,7.388,YDF29,1348.606,143.3864,25.946671,1821.6071,188.26543,-15570,-68501,5,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,52931,Did not financially perform as expected,In deficit," Kent, Surrey and Sussex",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,92.897728,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,Much higher than average,Much higher than average,None,None,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average
RXK,ALL CARE,221,190.5,30.5,.862,45,29.5,37.5,78.5,8,6.5,5.5,10.5,249,212.673,Above expected,12242,79.71111111111111,667.9111111111112,1.4909101,0,34.318703,0,0,0,0,YDF32,1016.2156,93.344009,26.799999,1198.499,104.25213,6600,-11933,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,5333,Did not financially perform as expected,In deficit, West Midlands,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,35.809612,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Much higher than average,None,Slightly higher than average,None,None,None,None,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
RXL,ALL CARE,255,213.5,41.5,.8373,93,25.5,29.5,65.5,10.5,17.5,6.5,7,261,233.8134,Above expected,14539,66.13333333333334,759.8777777777777,0,0,21.495501,0,0,0,0,YDF31,1193.6274,88.740822,0,1282.1333,110.31094,62,3036,3,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,2974,Performed better or as expected financially,Not in deficit, North West,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,21.495501,Slightly higher than average,Much higher than average,Slightly lower than average,Slightly higher than average,None,None,Slightly higher than average,None,None,None,None,Slightly higher than average,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly lower than average
RXN,ALL CARE,375,294,81,.784,108.5,45,54.5,86,25.5,30.5,10,15,257,242.55099,Above expected,10560,61.4,815.3777777777777,0,15.1,39.5,0,0,0,0,YDF31,1502.9213,156.61273,37.200001,1531.2568,236.20892,-10436,-14664,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,4228,Did not financially perform as expected,In deficit, North West,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,54.599998,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,None,Much higher than average,Much higher than average,None,None,None,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Slightly higher than average
RXP,ALL CARE,311,268.5,42.5,.8633,85,41,63,79.5,14,9,10,9.5,288,290.1131,Lower than expected,11385,158.5222222222222,914,0,0,14.213,0,0,0,0,YDF30,1311.8726,41.83334,11.933331,1294.9518,80.453339,6659,11720,10,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,5061,Performed better or as expected financially,Not in deficit, North East,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,14.213,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,None,None,Slightly lower than average,None,None,None,None,Slightly higher than average,Much lower than average,Slightly lower than average,Slightly higher than average,Slightly lower than average,Much lower than average
RXQ,ALL CARE,254.5,221,33.5,.8684000000000001,80.5,36,49.5,55,7.5,12.5,8.5,5,246,189.4339,Above expected,9328,21.66666666666667,713,0,4.4499998,14.875,0,8.9250002,17.049999,0,YDF25,1128.7844,84.935318,44.566669,1058.8263,95.527451,5157,-1759,7,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,3398,Did not financially perform as expected,In deficit, Thames Valley,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,45.299999,Slightly higher than average,Slightly higher than average,Much lower than average,Slightly higher than average,None,Slightly higher than average,Slightly lower than average,None,Slightly higher than average,Much higher than average,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average
RXR,ALL CARE,306.5,267,39.5,.8711,109.5,39,49,69.5,10,8.5,13.5,7.5,324,274.64261,Above expected,12060,131.7444444444444,896.1555555555556,0,0,27,0,0,0,0,YDF31,1538.8444,139.73091,25.373329,1505.5669,155.47194,-3676,3487,5,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed worse than expected,Performed as expected,Performed as expected,Performed as expected,189,Performed better or as expected financially,Not in deficit, North West,EAST LANCASHIRE HOSPITALS NHS TRUST,27,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,None,None,Slightly higher than average,None,None,None,None,Much higher than average,Much higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly lower than average
RXW,ALL CARE,377.5,315,62.5,.8344,106.5,60,48,100.5,24,11,10,17.5,395,454.60779,Lower than expected,5132,38.4,749.7222222222222,0,0,20.47727,0,0,0,0,YDF32,1193.1604,126.42997,41.626671,1042.1727,143.56625,-5900,-5631,2,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,269,Performed better or as expected financially,In deficit, West Midlands,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,20.47727,Much higher than average,Slightly lower than average,Much lower than average,Slightly higher than average,None,None,Slightly higher than average,None,None,None,None,Slightly higher than average,Slightly higher than average,Much higher than average,Slightly higher than average,Slightly higher than average,Slightly lower than average
RYJ,ALL CARE,244,190.5,53.5,.7807,42,25,45.5,78,17,15.5,8,13,405,580.31049,Lower than expected,28524,197.3111111111111,1024.188888888889,4.8000002,0,103.9641,0,0,42.18182,37.900002,YDF26,1609.2445,150.81958,52.155201,2667.8269,268.12332,-16862,-15330,5,Performed as expected,Performed better than expected,Performed worse than expected,Performed better than expected,Performed better than expected,Performed as expected,Performed better than expected,Performed better than expected,Performed as expected,1532,Performed better or as expected financially,In deficit, North West London,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,188.84592,Slightly higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,None,Much higher than average,None,None,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average,Much higher than average
RYR,ALL CARE,477,420,57,.8805,183,53,64.5,119.5,16.5,23.5,6.5,10.5,366,369.58231,Lower than expected,14003,69.33333333333333,955.8555555555556,0,0,26.525,0,0,10.8,0,YDF29,1229.7681,128.27361,12.04,1341.0226,107.24508,16434,8049,3,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed as expected,Performed better than expected,Performed as expected,Performed as expected,Performed as expected,8385,Did not financially perform as expected,Not in deficit," Kent, Surrey and Sussex",WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,37.325001,Much higher than average,Much higher than average,Slightly lower than average,Much higher than average,None,None,Slightly higher than average,None,None,Slightly higher than average,None,Slightly higher than average,Slightly higher than average,Slightly lower than average,Slightly higher than average,Slightly higher than average,Slightly higher than average
